nodeID,workerID,start_time,stop_time,task,return_code,file_path
h36n13,Worker-2c3545f4-ca6b-4578-8da4-2853cec6e80f,1673626602.203676,1673626602.2356732,postprocessing,0,Sphmag13G082100.1
h36n13,Worker-5968cd29-9869-4f02-8b27-fe8586d59611,1673626602.3305666,1673626602.359703,postprocessing,0,Sphmag05G005800.1
h36n12,Worker-f40d3781-71ee-40b8-a112-c6bc57fa3bff,1673626602.367499,1673626602.3898387,postprocessing,0,Sphmag02G124800.1
h36n12,Worker-0fc57a02-2983-4ac6-8e6d-3d5266abe976,1673626602.776989,1673626602.8001115,postprocessing,0,Sphmag06G109700.1
h36n13,Worker-8c194814-95d4-4333-941b-c4b310cc0bb2,1673626610.4692035,1673626612.8125453,processing,0,Sphmag12G098700.1
h36n12,Worker-082d0ce8-3089-4383-9603-db746856afef,1673626610.4198914,1673626612.8731182,processing,0,Sphmag02G154600.1
h36n12,Worker-3dae3197-7a2f-4faf-bed0-3a40a6131b11,1673626602.940545,1673626602.9628072,postprocessing,0,Sphmag05G019300.1
h36n13,Worker-25ccc599-e18a-4cf5-a113-5d760801f9fe,1673626610.7939758,1673626613.0515215,processing,0,Sphmag07G002100.1
h36n12,Worker-6da2b57c-d1d2-42e4-95f2-e4a2e13bfea1,1673626610.6487176,1673626613.2030268,processing,0,Sphmag09G059000.1
h36n12,Worker-8729f565-2d94-4f65-87b4-58b63508d478,1673626611.1268778,1673626613.4339502,processing,0,Sphmag19G026500.1
h36n12,Worker-8880ecf0-027e-48db-93d8-a78e4aeb8a58,1673626603.5512993,1673626603.5722396,postprocessing,0,Sphmag04G150800.1
h36n12,Worker-d67a2f4b-8ad7-47d6-910f-778f31051a0d,1673626611.1456788,1673626613.5484416,processing,0,Sphmag07G004700.1
h36n12,Worker-02353b1d-90da-4db6-b355-37f95ccc081c,1673626611.295769,1673626613.885665,processing,0,Sphmag16G090600.1
h36n12,Worker-690fc01a-e788-4637-a3a7-93286aaa1e62,1673626603.9338665,1673626603.9583404,postprocessing,0,Sphmag07G092100.1
h36n12,Worker-2009e77a-bfb0-46d2-a6da-aa13666eca6f,1673626604.090937,1673626604.1186974,postprocessing,0,Sphmag04G031400.1
h36n13,Worker-2395a461-7c7d-41cc-a96d-c3534013c08a,1673626604.230439,1673626604.2685182,postprocessing,0,Sphmag10G008700.1
h36n13,Worker-7de4180b-5416-47a5-b5e4-e3def4851f7d,1673626611.883824,1673626614.3675344,processing,0,Sphmag20G012600.1
h36n13,Worker-5b16bb8c-f27f-4339-a5e6-bd0e6749dc0a,1673626604.4874792,1673626604.5150583,postprocessing,0,Sphmag16G048000.1
h36n12,Worker-5a2f219b-6d3e-45cf-ba4e-d42ac4aa5f8a,1673626604.5351448,1673626604.562067,postprocessing,0,Sphmag08G129700.1
h36n12,Worker-a70a4468-1696-4ebc-ac8f-59a0f7743f67,1673626604.5816793,1673626604.61794,postprocessing,0,Sphmag18G088900.1
h36n12,Worker-d9eda4bf-0aa1-4ae7-8f94-bfcca44039b9,1673626604.6477678,1673626604.6839917,postprocessing,0,Sphmag08G069400.1
h36n12,Worker-7a822f8a-036a-4995-a619-bfb377779e2e,1673626604.7430518,1673626604.7685516,postprocessing,0,Sphmag03G004700.1
h36n13,Worker-5c951174-ed38-4a3f-8f43-882677bb851e,1673626604.731029,1673626604.769752,postprocessing,0,Sphmag04G106800.1
h36n13,Worker-61f0bb78-eae6-419c-bb30-6ffc27e308d0,1673626611.6831598,1673626614.8569202,processing,0,Sphmag01G191500.1
h36n12,Worker-583a6c3c-b41c-4ab2-91b2-933b9fbeb88f,1673626604.8822665,1673626604.9176326,postprocessing,0,Sphmag15G009500.1
h36n13,Worker-0dc23e0a-fc3b-4e99-b5cd-4983c5a78043,1673626604.940504,1673626604.9628146,postprocessing,0,Sphmag03G047400.1
h36n13,Worker-4a9c0ae8-3951-4952-84c5-f2b7fdd04ac8,1673626604.93661,1673626604.9691691,postprocessing,0,Sphmag01G100700.1
h36n13,Worker-7368a34a-eeb3-476e-9b6f-463ed84bd30d,1673626605.01273,1673626605.0479896,postprocessing,0,Sphmag10G048400.1
h36n12,Worker-7c747fed-fb35-4e84-944e-4543c650cef5,1673626605.0506237,1673626605.0700245,postprocessing,0,Sphmag01G124400.1
h36n12,Worker-b11df8e0-9be6-4b23-9fc7-b944abcb2b77,1673626605.0312884,1673626605.0718386,postprocessing,0,Sphmag18G006800.1
h36n13,Worker-f12de370-7c82-4d7c-b6e9-1329a0add584,1673626605.0795753,1673626605.1022031,postprocessing,0,Sphmag03G104100.1
h36n13,Worker-37a6c7e3-5859-4faf-87cf-3ac9709dd9cf,1673626605.1252415,1673626605.1576283,postprocessing,0,Sphmag18G008200.1
h36n12,Worker-5e31c79d-c153-4b17-8a60-7a8be840ca48,1673626605.1680152,1673626605.2070954,postprocessing,0,Sphmag01G085800.1
h36n12,Worker-cd625b0b-c7e9-4771-9d26-f340312adcb9,1673626605.3451722,1673626605.3696117,postprocessing,0,Sphmag02G155900.1
h36n13,Worker-13ce5b4f-b334-4a3f-ac04-292125d9034c,1673626605.4245303,1673626605.4442074,postprocessing,0,Sphmag02G204000.1
h36n13,Worker-8b3a33c1-6815-4195-9e3d-2845a6a8811c,1673626605.6264594,1673626605.6615257,postprocessing,0,Sphmag19G000200.1
h36n13,Worker-7c6bc4a7-ed69-44e8-94e1-4706eaaed715,1673626605.7876441,1673626605.8124464,postprocessing,0,Sphmag04G019100.1
h36n12,Worker-02860a1f-0848-499a-8323-2c5db35a7dfa,1673626605.7997053,1673626605.8325386,postprocessing,0,Sphmag04G048700.1
h36n13,Worker-d36f69b9-0783-4051-971c-ff2da02b9634,1673626606.1478057,1673626606.1799796,postprocessing,0,Sphmag13G118800.1
h36n13,Worker-bded9027-d692-4e62-86ac-b58d95c9d5b7,1673626606.1501186,1673626606.1898525,postprocessing,0,Sphmag09G002700.1
h36n13,Worker-5513d8d4-5d15-4bdd-8e51-a4d707aed9a6,1673626606.234777,1673626606.2640903,postprocessing,0,Sphmag07G118600.1
h36n12,Worker-8d161639-d8af-4ca0-a125-ccd3595c3d34,1673626606.347312,1673626606.366885,postprocessing,0,Sphmag07G011100.1
h36n12,Worker-af5f284c-b39e-4348-b45d-93b21884cc39,1673626606.4157188,1673626606.4589026,postprocessing,0,Sphmag10G104800.1
h36n13,Worker-14589dfc-7e89-4a53-8923-8398e3691ced,1673626606.6563802,1673626606.6881397,postprocessing,0,Sphmag03G045300.1
h36n12,Worker-a7db87ea-e7a7-4647-8e4c-b716d5389516,1673626606.6945875,1673626606.726845,postprocessing,0,Sphmag17G015900.1
h36n12,Worker-083618c2-eb4f-48eb-b6f1-c0d9064305ea,1673626606.8288774,1673626606.8723428,postprocessing,0,Sphmag07G017400.1
